"","alltrial","id","age","condition","agent","altAgent","leftObject","rightObject","pick","target","trial","change","rt","correct"
"140","10","180426_4_pref","3","preference","Monkey",NA,"t11","t14","t11","right","8","false",15095,0
"141","1","180426_5_pref","3","preference","Elephant","Mouse","car","bear","car","left","train","false",16743,1
"142","2","180426_5_pref","3","preference","Pig","Mouse","duck","ball","ball","right","train","false",10533,1
"143","3","180426_5_pref","3","preference","Elephant","Mouse","t6","t1","t6","left","1","false",14819,1
"144","4","180426_5_pref","3","preference","Beaver","Mouse","t7","t5","t5","left","2","true",16109,0
"145","5","180426_5_pref","3","preference","Monkey","Dog","t8","t2","t2","right","3","false",14473,1
"146","6","180426_5_pref","3","preference","Tiger","Dog","t4","t9","t9","left","4","true",13480,0
"147","7","180426_5_pref","3","preference","Pig","Frog","t3","t11","t11","right","5","true",18753,1
"148","8","180426_5_pref","3","preference","Cat","Bear","t15","t14","t15","left","6","false",15306,1
"149","9","180426_5_pref","3","preference","Sheep","Bear","t16","t10","t16","right","7","true",14269,0
"150","10","180426_5_pref","3","preference","Bunny",NA,"t12","t17","t12","right","8","false",14011,0
"151","1","180502_1_pref","3","preference","Elephant","Bear","car","bear","car","left","train","false",20931,1
"152","2","180502_1_pref","3","preference","Pig","Bear","duck","ball","ball","right","train","false",12110,1
"153","3","180502_1_pref","3","preference","Monkey","Bear","t6","t4","t4","left","1","true",14029,0
"154","4","180502_1_pref","3","preference","Cat","Mouse","t12","t5","t5","right","2","false",14883,1
"155","5","180502_1_pref","3","preference","Tiger","Mouse","t15","t11","t11","right","3","true",18584,1
"156","6","180502_1_pref","3","preference","Sheep","Elephant","t3","t7","t3","left","4","false",18969,1
"157","7","180502_1_pref","3","preference","Beaver","Elephant","t16","t8","t8","right","5","false",15170,1
"158","8","180502_1_pref","3","preference","Frog","Elephant","t14","t2","t2","right","6","true",18151,1
"159","9","180502_1_pref","3","preference","Bunny","Pig","t9","t1","t9","left","7","false",16526,1
"160","10","180502_1_pref","3","preference","Dog","Pig","t10","t17","t10","left","8","true",20518,1
"161","1","180502_2_pref","3","preference","Elephant","Bunny","car","bear","car","left","train","false",12290,1
"162","2","180502_2_pref","3","preference","Pig","Bunny","duck","ball","ball","right","train","false",9949,1
"163","3","180502_2_pref","3","preference","Dog","Bunny","t1","t16","t1","left","1","true",17780,1
