experiment,id,condition,trial,agent,correct
adult_ex2_novelty,d48d41daef7867148f39761302f631b5,different_speaker,3,Cat,0
adult_ex2_novelty,d48d41daef7867148f39761302f631b5,same_speaker,4,Tiger,1
adult_ex2_novelty,d48d41daef7867148f39761302f631b5,different_speaker,5,Bunny,0
adult_ex2_novelty,d48d41daef7867148f39761302f631b5,same_speaker,6,Sheep,1
adult_ex2_novelty,e70bf01872143f90d66459e7b13f07ce,different_speaker,1,Monkey,1
adult_ex2_novelty,e70bf01872143f90d66459e7b13f07ce,same_speaker,2,Mouse,0
adult_ex2_novelty,e70bf01872143f90d66459e7b13f07ce,same_speaker,3,Tiger,0
adult_ex2_novelty,e70bf01872143f90d66459e7b13f07ce,different_speaker,4,Frog,1
adult_ex2_novelty,e70bf01872143f90d66459e7b13f07ce,different_speaker,5,Bunny,0
adult_ex2_novelty,e70bf01872143f90d66459e7b13f07ce,same_speaker,6,Bear,1
adult_ex2_novelty,ec744ffe2c272bab8bdbb4236f7d18d1,different_speaker,1,Frog,1
adult_ex2_novelty,ec744ffe2c272bab8bdbb4236f7d18d1,same_speaker,2,Mouse,1
adult_ex2_novelty,ec744ffe2c272bab8bdbb4236f7d18d1,different_speaker,3,Monkey,1
adult_ex2_novelty,ec744ffe2c272bab8bdbb4236f7d18d1,same_speaker,4,Cat,1
adult_ex2_novelty,ec744ffe2c272bab8bdbb4236f7d18d1,same_speaker,5,Sheep,1
adult_ex2_novelty,ec744ffe2c272bab8bdbb4236f7d18d1,different_speaker,6,Bunny,1
adult_ex2_novelty,f0ef4f803e138506f0a8a7d57bc2ac75,same_speaker,1,Cat,1
adult_ex2_novelty,f0ef4f803e138506f0a8a7d57bc2ac75,different_speaker,2,Monkey,1
adult_ex2_novelty,f0ef4f803e138506f0a8a7d57bc2ac75,same_speaker,3,Dog,1
adult_ex2_novelty,f0ef4f803e138506f0a8a7d57bc2ac75,different_speaker,4,Bear,1
adult_ex2_novelty,f0ef4f803e138506f0a8a7d57bc2ac75,different_speaker,5,Bunny,1
adult_ex2_novelty,f0ef4f803e138506f0a8a7d57bc2ac75,same_speaker,6,Frog,1
adult_ex2_novelty,f8ccb11af6d22cf59a7735dbfde832d3,same_speaker,1,Mouse,1
adult_ex2_novelty,f8ccb11af6d22cf59a7735dbfde832d3,different_speaker,2,Bunny,1
adult_ex2_novelty,f8ccb11af6d22cf59a7735dbfde832d3,same_speaker,3,Monkey,1
adult_ex2_novelty,f8ccb11af6d22cf59a7735dbfde832d3,different_speaker,4,Frog,1
adult_ex2_novelty,f8ccb11af6d22cf59a7735dbfde832d3,different_speaker,5,Tiger,1
adult_ex2_novelty,f8ccb11af6d22cf59a7735dbfde832d3,same_speaker,6,Bear,1
adult_ex2_novelty,fa99ed6fc6eef9c03e6f2a5b764dbc5f,same_speaker,1,Mouse,1
adult_ex2_novelty,fa99ed6fc6eef9c03e6f2a5b764dbc5f,different_speaker,2,Cat,1
adult_ex2_novelty,fa99ed6fc6eef9c03e6f2a5b764dbc5f,different_speaker,3,Bunny,0
adult_ex2_novelty,fa99ed6fc6eef9c03e6f2a5b764dbc5f,same_speaker,4,Tiger,1
adult_ex2_novelty,fa99ed6fc6eef9c03e6f2a5b764dbc5f,different_speaker,5,Frog,1
adult_ex2_novelty,fa99ed6fc6eef9c03e6f2a5b764dbc5f,same_speaker,6,Monkey,1
adult_ex2_novelty,fd323b90772ff71be5edb33312290653,different_speaker,1,Frog,1
adult_ex2_novelty,fd323b90772ff71be5edb33312290653,same_speaker,2,Mouse,1
adult_ex2_novelty,fd323b90772ff71be5edb33312290653,same_speaker,3,Cat,1
adult_ex2_novelty,fd323b90772ff71be5edb33312290653,different_speaker,4,Bunny,1
adult_ex2_novelty,fd323b90772ff71be5edb33312290653,different_speaker,5,Monkey,1
adult_ex2_novelty,fd323b90772ff71be5edb33312290653,same_speaker,6,Bear,1
