experiment,id,condition,trial,agent,correct
adult_ex2_preference,cfedf25a3dbaf24e25a035ef0b0ec380,different_speaker,6,Sheep,0
adult_ex2_preference,d3221f6437c1e41938d8ed200a4652d7,same_speaker,1,Bunny,1
adult_ex2_preference,d3221f6437c1e41938d8ed200a4652d7,different_speaker,2,Tiger,1
adult_ex2_preference,d3221f6437c1e41938d8ed200a4652d7,same_speaker,3,Dog,1
adult_ex2_preference,d3221f6437c1e41938d8ed200a4652d7,different_speaker,4,Cat,1
adult_ex2_preference,d3221f6437c1e41938d8ed200a4652d7,different_speaker,5,Sheep,0
adult_ex2_preference,d3221f6437c1e41938d8ed200a4652d7,same_speaker,6,Bear,1
adult_ex2_preference,daaf7b322d0a229e5e191a3dbba6ed1d,same_speaker,1,Mouse,1
adult_ex2_preference,daaf7b322d0a229e5e191a3dbba6ed1d,different_speaker,2,Cat,0
adult_ex2_preference,daaf7b322d0a229e5e191a3dbba6ed1d,same_speaker,3,Bunny,1
adult_ex2_preference,daaf7b322d0a229e5e191a3dbba6ed1d,different_speaker,4,Sheep,0
adult_ex2_preference,daaf7b322d0a229e5e191a3dbba6ed1d,different_speaker,5,Tiger,1
adult_ex2_preference,daaf7b322d0a229e5e191a3dbba6ed1d,same_speaker,6,Bear,1
adult_ex2_preference,df6e08e95c8f29bdac8e2a5511f4e9ea,different_speaker,1,Cat,1
adult_ex2_preference,df6e08e95c8f29bdac8e2a5511f4e9ea,same_speaker,2,Frog,1
adult_ex2_preference,df6e08e95c8f29bdac8e2a5511f4e9ea,same_speaker,3,Monkey,1
adult_ex2_preference,df6e08e95c8f29bdac8e2a5511f4e9ea,different_speaker,4,Sheep,1
adult_ex2_preference,df6e08e95c8f29bdac8e2a5511f4e9ea,same_speaker,5,Tiger,1
adult_ex2_preference,df6e08e95c8f29bdac8e2a5511f4e9ea,different_speaker,6,Bear,1
adult_ex2_preference,e34778dd2684c9591c9e40a6bd9b8951,different_speaker,1,Dog,1
adult_ex2_preference,e34778dd2684c9591c9e40a6bd9b8951,same_speaker,2,Bear,1
adult_ex2_preference,e34778dd2684c9591c9e40a6bd9b8951,same_speaker,3,Frog,1
adult_ex2_preference,e34778dd2684c9591c9e40a6bd9b8951,different_speaker,4,Mouse,1
adult_ex2_preference,e34778dd2684c9591c9e40a6bd9b8951,same_speaker,5,Cat,1
adult_ex2_preference,e34778dd2684c9591c9e40a6bd9b8951,different_speaker,6,Sheep,1
adult_ex2_preference,e70bf01872143f90d66459e7b13f07ce,same_speaker,1,Dog,1
adult_ex2_preference,e70bf01872143f90d66459e7b13f07ce,different_speaker,2,Tiger,0
adult_ex2_preference,e70bf01872143f90d66459e7b13f07ce,different_speaker,3,Cat,1
adult_ex2_preference,e70bf01872143f90d66459e7b13f07ce,same_speaker,4,Monkey,1
adult_ex2_preference,e70bf01872143f90d66459e7b13f07ce,different_speaker,5,Sheep,1
adult_ex2_preference,e70bf01872143f90d66459e7b13f07ce,same_speaker,6,Bear,1
adult_ex2_preference,ef5935111951ac032cc3579c2b1af18e,same_speaker,1,Bunny,1
adult_ex2_preference,ef5935111951ac032cc3579c2b1af18e,different_speaker,2,Sheep,0
adult_ex2_preference,ef5935111951ac032cc3579c2b1af18e,same_speaker,3,Mouse,1
adult_ex2_preference,ef5935111951ac032cc3579c2b1af18e,different_speaker,4,Tiger,0
adult_ex2_preference,ef5935111951ac032cc3579c2b1af18e,different_speaker,5,Cat,0
adult_ex2_preference,ef5935111951ac032cc3579c2b1af18e,same_speaker,6,Dog,1
adult_ex2_preference,f8893b3e3bf32a35edd8c2a5104c10f3,different_speaker,1,Sheep,0
adult_ex2_preference,f8893b3e3bf32a35edd8c2a5104c10f3,same_speaker,2,Monkey,1
adult_ex2_preference,f8893b3e3bf32a35edd8c2a5104c10f3,same_speaker,3,Mouse,1
adult_ex2_preference,f8893b3e3bf32a35edd8c2a5104c10f3,different_speaker,4,Bear,1
adult_ex2_preference,f8893b3e3bf32a35edd8c2a5104c10f3,different_speaker,5,Cat,1
adult_ex2_preference,f8893b3e3bf32a35edd8c2a5104c10f3,same_speaker,6,Dog,1
adult_ex2_preference,feea0439330b3ee1ee2181609dc2fb2d,same_speaker,1,Mouse,1
adult_ex2_preference,feea0439330b3ee1ee2181609dc2fb2d,different_speaker,2,Sheep,1
adult_ex2_preference,feea0439330b3ee1ee2181609dc2fb2d,same_speaker,3,Monkey,1
adult_ex2_preference,feea0439330b3ee1ee2181609dc2fb2d,different_speaker,4,Frog,1
adult_ex2_preference,feea0439330b3ee1ee2181609dc2fb2d,same_speaker,5,Tiger,1
adult_ex2_preference,feea0439330b3ee1ee2181609dc2fb2d,different_speaker,6,Cat,1
