experiment,id,trial,common_ground_manipulation,prior_manipulation,speaker,alignment,agent,correct_inf
adult_ex4,37ffa74dd41e12296df084f25658ca90,8,novelty,strong,same_speaker,incongruent,Mouse,1
adult_ex4,3d7e14e828164a6524d7305da3b2cd36,1,novelty,strong,same_speaker,incongruent,Bear,0
adult_ex4,3d7e14e828164a6524d7305da3b2cd36,2,novelty,strong,same_speaker,incongruent,Sheep,1
adult_ex4,3d7e14e828164a6524d7305da3b2cd36,3,novelty,strong,different_speaker,congruent,Tiger,1
adult_ex4,3d7e14e828164a6524d7305da3b2cd36,4,novelty,strong,different_speaker,incongruent,Pig,0
adult_ex4,3d7e14e828164a6524d7305da3b2cd36,5,novelty,strong,same_speaker,congruent,Mouse,0
adult_ex4,3d7e14e828164a6524d7305da3b2cd36,6,novelty,strong,different_speaker,incongruent,Elephant,0
adult_ex4,3d7e14e828164a6524d7305da3b2cd36,7,novelty,strong,same_speaker,congruent,Monkey,0
adult_ex4,3d7e14e828164a6524d7305da3b2cd36,8,novelty,strong,different_speaker,congruent,Dog,1
adult_ex4,3e293de26d915a847a0f98c7fc61c09e,1,novelty,strong,same_speaker,incongruent,Tiger,0
adult_ex4,3e293de26d915a847a0f98c7fc61c09e,2,novelty,strong,same_speaker,incongruent,Dog,0
adult_ex4,3e293de26d915a847a0f98c7fc61c09e,3,novelty,strong,same_speaker,congruent,Frog,1
adult_ex4,3e293de26d915a847a0f98c7fc61c09e,4,novelty,strong,same_speaker,congruent,Mouse,1
adult_ex4,3e293de26d915a847a0f98c7fc61c09e,5,novelty,strong,different_speaker,incongruent,Elephant,0
adult_ex4,3e293de26d915a847a0f98c7fc61c09e,6,novelty,strong,different_speaker,congruent,Pig,1
adult_ex4,3e293de26d915a847a0f98c7fc61c09e,7,novelty,strong,different_speaker,congruent,Cat,1
adult_ex4,3e293de26d915a847a0f98c7fc61c09e,8,novelty,strong,different_speaker,incongruent,Sheep,0
adult_ex4,421d1a094990c347a46ff61fca21d0d2,1,novelty,strong,same_speaker,congruent,Cat,0
adult_ex4,421d1a094990c347a46ff61fca21d0d2,2,novelty,strong,different_speaker,congruent,Frog,1
adult_ex4,421d1a094990c347a46ff61fca21d0d2,3,novelty,strong,different_speaker,incongruent,Monkey,0
adult_ex4,421d1a094990c347a46ff61fca21d0d2,4,novelty,strong,different_speaker,congruent,Sheep,1
adult_ex4,421d1a094990c347a46ff61fca21d0d2,5,novelty,strong,same_speaker,incongruent,Bunny,1
adult_ex4,421d1a094990c347a46ff61fca21d0d2,6,novelty,strong,same_speaker,incongruent,Dog,1
adult_ex4,421d1a094990c347a46ff61fca21d0d2,7,novelty,strong,same_speaker,congruent,Tiger,0
adult_ex4,421d1a094990c347a46ff61fca21d0d2,8,novelty,strong,different_speaker,incongruent,Elephant,0
adult_ex4,48aa84849e4116bb465b79a7cbd870c7,1,novelty,strong,same_speaker,congruent,Monkey,1
adult_ex4,48aa84849e4116bb465b79a7cbd870c7,2,novelty,strong,different_speaker,incongruent,Dog,1
adult_ex4,48aa84849e4116bb465b79a7cbd870c7,3,novelty,strong,same_speaker,incongruent,Sheep,0
adult_ex4,48aa84849e4116bb465b79a7cbd870c7,4,novelty,strong,same_speaker,congruent,Frog,1
adult_ex4,48aa84849e4116bb465b79a7cbd870c7,5,novelty,strong,different_speaker,incongruent,Pig,1
adult_ex4,48aa84849e4116bb465b79a7cbd870c7,6,novelty,strong,same_speaker,incongruent,Tiger,0
adult_ex4,48aa84849e4116bb465b79a7cbd870c7,7,novelty,strong,different_speaker,congruent,Bear,1
adult_ex4,48aa84849e4116bb465b79a7cbd870c7,8,novelty,strong,different_speaker,congruent,Cat,1
adult_ex4,4f43db84e9d2cc7fb0cec4b3aa82e656,1,novelty,strong,same_speaker,congruent,Mouse,1
adult_ex4,4f43db84e9d2cc7fb0cec4b3aa82e656,2,novelty,strong,different_speaker,congruent,Frog,1
adult_ex4,4f43db84e9d2cc7fb0cec4b3aa82e656,3,novelty,strong,different_speaker,incongruent,Bunny,1
adult_ex4,4f43db84e9d2cc7fb0cec4b3aa82e656,4,novelty,strong,same_speaker,incongruent,Pig,0
adult_ex4,4f43db84e9d2cc7fb0cec4b3aa82e656,5,novelty,strong,same_speaker,congruent,Bear,1
adult_ex4,4f43db84e9d2cc7fb0cec4b3aa82e656,6,novelty,strong,different_speaker,congruent,Monkey,1
adult_ex4,4f43db84e9d2cc7fb0cec4b3aa82e656,7,novelty,strong,different_speaker,incongruent,Beaver,1
adult_ex4,4f43db84e9d2cc7fb0cec4b3aa82e656,8,novelty,strong,same_speaker,incongruent,Dog,0
adult_ex4,5110f6e0915a374fce69a7d49326a819,1,novelty,strong,same_speaker,incongruent,Elephant,1
adult_ex4,5110f6e0915a374fce69a7d49326a819,2,novelty,strong,same_speaker,incongruent,Pig,1
adult_ex4,5110f6e0915a374fce69a7d49326a819,3,novelty,strong,different_speaker,congruent,Sheep,1
adult_ex4,5110f6e0915a374fce69a7d49326a819,4,novelty,strong,same_speaker,congruent,Bear,1
adult_ex4,5110f6e0915a374fce69a7d49326a819,5,novelty,strong,same_speaker,congruent,Dog,1
adult_ex4,5110f6e0915a374fce69a7d49326a819,6,novelty,strong,different_speaker,incongruent,Bunny,1
adult_ex4,5110f6e0915a374fce69a7d49326a819,7,novelty,strong,different_speaker,congruent,Tiger,1
adult_ex4,5110f6e0915a374fce69a7d49326a819,8,novelty,strong,different_speaker,incongruent,Beaver,1
adult_ex4,5510d17b9497c58b498dc21cd69fec44,1,novelty,strong,same_speaker,congruent,Beaver,1
adult_ex4,5510d17b9497c58b498dc21cd69fec44,2,novelty,strong,same_speaker,congruent,Monkey,1
adult_ex4,5510d17b9497c58b498dc21cd69fec44,3,novelty,strong,different_speaker,incongruent,Cat,1
adult_ex4,5510d17b9497c58b498dc21cd69fec44,4,novelty,strong,same_speaker,incongruent,Tiger,1
adult_ex4,5510d17b9497c58b498dc21cd69fec44,5,novelty,strong,same_speaker,incongruent,Dog,1
adult_ex4,5510d17b9497c58b498dc21cd69fec44,6,novelty,strong,different_speaker,congruent,Bunny,1
adult_ex4,5510d17b9497c58b498dc21cd69fec44,7,novelty,strong,different_speaker,congruent,Bear,1
adult_ex4,5510d17b9497c58b498dc21cd69fec44,8,novelty,strong,different_speaker,incongruent,Sheep,1
adult_ex4,5e5bd6639a9a9b011ed49bca65120b75,1,novelty,strong,different_speaker,incongruent,Sheep,0
adult_ex4,5e5bd6639a9a9b011ed49bca65120b75,2,novelty,strong,different_speaker,congruent,Elephant,1
adult_ex4,5e5bd6639a9a9b011ed49bca65120b75,3,novelty,strong,same_speaker,congruent,Dog,1
adult_ex4,5e5bd6639a9a9b011ed49bca65120b75,4,novelty,strong,different_speaker,incongruent,Bunny,0
adult_ex4,5e5bd6639a9a9b011ed49bca65120b75,5,novelty,strong,same_speaker,congruent,Bear,1
adult_ex4,5e5bd6639a9a9b011ed49bca65120b75,6,novelty,strong,same_speaker,incongruent,Pig,0
adult_ex4,5e5bd6639a9a9b011ed49bca65120b75,7,novelty,strong,same_speaker,incongruent,Beaver,0
adult_ex4,5e5bd6639a9a9b011ed49bca65120b75,8,novelty,strong,different_speaker,congruent,Mouse,1
adult_ex4,71626adc5ca44d1282feb0a4c2e64fe9,1,novelty,strong,same_speaker,congruent,Frog,1
adult_ex4,71626adc5ca44d1282feb0a4c2e64fe9,2,novelty,strong,different_speaker,incongruent,Bunny,0
adult_ex4,71626adc5ca44d1282feb0a4c2e64fe9,3,novelty,strong,different_speaker,congruent,Cat,1
adult_ex4,71626adc5ca44d1282feb0a4c2e64fe9,4,novelty,strong,same_speaker,incongruent,Tiger,0
adult_ex4,71626adc5ca44d1282feb0a4c2e64fe9,5,novelty,strong,same_speaker,congruent,Monkey,1
adult_ex4,71626adc5ca44d1282feb0a4c2e64fe9,6,novelty,strong,different_speaker,incongruent,Beaver,0
adult_ex4,71626adc5ca44d1282feb0a4c2e64fe9,7,novelty,strong,same_speaker,incongruent,Pig,1
adult_ex4,71626adc5ca44d1282feb0a4c2e64fe9,8,novelty,strong,different_speaker,congruent,Sheep,1
adult_ex4,71cf23933c660541f2b6ac78f80e8262,1,novelty,strong,same_speaker,congruent,Frog,1
adult_ex4,71cf23933c660541f2b6ac78f80e8262,2,novelty,strong,different_speaker,incongruent,Bear,1
adult_ex4,71cf23933c660541f2b6ac78f80e8262,3,novelty,strong,different_speaker,congruent,Monkey,1
adult_ex4,71cf23933c660541f2b6ac78f80e8262,4,novelty,strong,different_speaker,congruent,Dog,1
adult_ex4,71cf23933c660541f2b6ac78f80e8262,5,novelty,strong,different_speaker,incongruent,Tiger,0
adult_ex4,71cf23933c660541f2b6ac78f80e8262,6,novelty,strong,same_speaker,incongruent,Sheep,1
adult_ex4,71cf23933c660541f2b6ac78f80e8262,7,novelty,strong,same_speaker,congruent,Cat,1
adult_ex4,71cf23933c660541f2b6ac78f80e8262,8,novelty,strong,same_speaker,incongruent,Beaver,0
adult_ex4,71f5b9f738d0c8eaaae526e70bfef9d6,1,novelty,strong,different_speaker,incongruent,Bunny,0
adult_ex4,71f5b9f738d0c8eaaae526e70bfef9d6,2,novelty,strong,same_speaker,incongruent,Beaver,0
adult_ex4,71f5b9f738d0c8eaaae526e70bfef9d6,3,novelty,strong,different_speaker,incongruent,Pig,0
adult_ex4,71f5b9f738d0c8eaaae526e70bfef9d6,4,novelty,strong,same_speaker,congruent,Cat,1
adult_ex4,71f5b9f738d0c8eaaae526e70bfef9d6,5,novelty,strong,different_speaker,congruent,Elephant,0
adult_ex4,71f5b9f738d0c8eaaae526e70bfef9d6,6,novelty,strong,same_speaker,incongruent,Monkey,0
adult_ex4,71f5b9f738d0c8eaaae526e70bfef9d6,7,novelty,strong,different_speaker,congruent,Tiger,1
adult_ex4,71f5b9f738d0c8eaaae526e70bfef9d6,8,novelty,strong,same_speaker,congruent,Dog,1
adult_ex4,7626e3a6e68d82e648b673671d1a5be5,1,novelty,strong,different_speaker,congruent,Beaver,1
adult_ex4,7626e3a6e68d82e648b673671d1a5be5,2,novelty,strong,same_speaker,incongruent,Bunny,0
adult_ex4,7626e3a6e68d82e648b673671d1a5be5,3,novelty,strong,different_speaker,congruent,Cat,1
adult_ex4,7626e3a6e68d82e648b673671d1a5be5,4,novelty,strong,different_speaker,incongruent,Frog,0
adult_ex4,7626e3a6e68d82e648b673671d1a5be5,5,novelty,strong,different_speaker,incongruent,Tiger,0
adult_ex4,7626e3a6e68d82e648b673671d1a5be5,6,novelty,strong,same_speaker,incongruent,Elephant,0
adult_ex4,7626e3a6e68d82e648b673671d1a5be5,7,novelty,strong,same_speaker,congruent,Monkey,1
adult_ex4,7626e3a6e68d82e648b673671d1a5be5,8,novelty,strong,same_speaker,congruent,Bear,1
adult_ex4,82234b29b8e73981b52d20441ef0718e,1,novelty,strong,different_speaker,incongruent,Sheep,0
adult_ex4,82234b29b8e73981b52d20441ef0718e,2,novelty,strong,different_speaker,congruent,Beaver,1
adult_ex4,82234b29b8e73981b52d20441ef0718e,3,novelty,strong,same_speaker,incongruent,Pig,1
adult_ex4,82234b29b8e73981b52d20441ef0718e,4,novelty,strong,different_speaker,incongruent,Frog,1
adult_ex4,82234b29b8e73981b52d20441ef0718e,5,novelty,strong,same_speaker,congruent,Elephant,0
adult_ex4,82234b29b8e73981b52d20441ef0718e,6,novelty,strong,same_speaker,congruent,Bunny,1
adult_ex4,82234b29b8e73981b52d20441ef0718e,7,novelty,strong,different_speaker,congruent,Cat,1
adult_ex4,82234b29b8e73981b52d20441ef0718e,8,novelty,strong,same_speaker,incongruent,Mouse,0
adult_ex4,868460ed5f299ef3e468a27c4db1f1c7,1,novelty,strong,same_speaker,incongruent,Dog,0
