experiment,id,trial,common_ground_manipulation,prior_manipulation,speaker,agent,correct
adult_ex4_prior,8251f30d8b2583c15b8a516f5e004971,6,novelty,strong,same_speaker,NA,1
adult_ex4_prior,8fc5dee80c755a2a203ecdabde3757ff,1,novelty,strong,same_speaker,Bunny,1
adult_ex4_prior,8fc5dee80c755a2a203ecdabde3757ff,2,novelty,strong,different_speaker,Bunny,1
adult_ex4_prior,8fc5dee80c755a2a203ecdabde3757ff,3,novelty,strong,different_speaker,Frog,1
adult_ex4_prior,8fc5dee80c755a2a203ecdabde3757ff,4,novelty,strong,same_speaker,Monkey,0
adult_ex4_prior,8fc5dee80c755a2a203ecdabde3757ff,5,novelty,strong,different_speaker,Monkey,1
adult_ex4_prior,8fc5dee80c755a2a203ecdabde3757ff,6,novelty,strong,same_speaker,NA,0
adult_ex4_prior,99d8f41dbfd2d59af82e2caeda44ea90,1,novelty,strong,different_speaker,Cat,1
adult_ex4_prior,99d8f41dbfd2d59af82e2caeda44ea90,2,novelty,strong,same_speaker,Frog,1
adult_ex4_prior,99d8f41dbfd2d59af82e2caeda44ea90,3,novelty,strong,same_speaker,Frog,1
adult_ex4_prior,99d8f41dbfd2d59af82e2caeda44ea90,4,novelty,strong,different_speaker,Frog,1
adult_ex4_prior,99d8f41dbfd2d59af82e2caeda44ea90,5,novelty,strong,different_speaker,Monkey,1
adult_ex4_prior,99d8f41dbfd2d59af82e2caeda44ea90,6,novelty,strong,same_speaker,NA,1
adult_ex4_prior,9f2ae7b63aadaadd8462cf65228edc96,1,novelty,strong,different_speaker,Bunny,0
adult_ex4_prior,9f2ae7b63aadaadd8462cf65228edc96,2,novelty,strong,same_speaker,Bear,0
adult_ex4_prior,9f2ae7b63aadaadd8462cf65228edc96,3,novelty,strong,same_speaker,Bear,0
adult_ex4_prior,9f2ae7b63aadaadd8462cf65228edc96,4,novelty,strong,different_speaker,Bear,0
adult_ex4_prior,9f2ae7b63aadaadd8462cf65228edc96,5,novelty,strong,different_speaker,Monkey,0
adult_ex4_prior,9f2ae7b63aadaadd8462cf65228edc96,6,novelty,strong,same_speaker,NA,0
adult_ex4_prior,a58ab0a1c1563560e721df4cc9248b33,1,novelty,strong,same_speaker,Monkey,1
adult_ex4_prior,a58ab0a1c1563560e721df4cc9248b33,2,novelty,strong,different_speaker,Monkey,0
adult_ex4_prior,a58ab0a1c1563560e721df4cc9248b33,3,novelty,strong,different_speaker,Bunny,0
adult_ex4_prior,a58ab0a1c1563560e721df4cc9248b33,4,novelty,strong,same_speaker,Frog,1
adult_ex4_prior,a58ab0a1c1563560e721df4cc9248b33,5,novelty,strong,different_speaker,Frog,0
