alltrial,subid,age,condition,agent,altAgent,leftObject,rightObject,pick,target,trial,change,rt,correct,targetObj,age_num,X,trial_type
6,180718_8_pref,3,preference,Tiger,Monkey,t5,t15,t15,left,4,true,9877,0,t5,3.91232876712329,NA,test
7,180718_8_pref,3,preference,Sheep,Dog,t10,t11,t10,left,5,false,8731,1,t10,3.91232876712329,NA,test
8,180718_8_pref,3,preference,Pig,Dog,t9,t3,t3,left,6,true,15427,0,t9,3.91232876712329,NA,test
9,180718_8_pref,3,preference,Frog,Bunny,t6,t1,t1,right,7,false,8757,1,t1,3.91232876712329,NA,test
10,180718_8_pref,3,preference,Bear,Bunny,t14,t7,t7,right,8,true,8334,1,t7,3.91232876712329,NA,test
1,180722_10_pref,4,preference,Elephant,Mouse,car,bear,car,left,train,false,10545,1,car,4.68219178082192,NA,train
2,180722_10_pref,4,preference,Pig,Mouse,duck,ball,ball,right,train,false,9834,1,ball,4.68219178082192,NA,train
3,180722_10_pref,4,preference,Tiger,Mouse,t8,t4,t8,right,1,true,19148,0,t4,4.68219178082192,NA,test
4,180722_10_pref,4,preference,Elephant,Frog,t11,t2,t2,left,2,false,13700,0,t11,4.68219178082192,NA,test
5,180722_10_pref,4,preference,Sheep,Frog,t14,t16,t14,right,3,true,13635,0,t16,4.68219178082192,NA,test
6,180722_10_pref,4,preference,Beaver,Dog,t15,t5,t15,right,4,false,13874,0,t5,4.68219178082192,NA,test
7,180722_10_pref,4,preference,Cat,Dog,t6,t9,t6,left,5,true,13006,1,t6,4.68219178082192,NA,test
8,180722_10_pref,4,preference,Bunny,Bear,t10,t1,t1,right,6,false,15289,1,t1,4.68219178082192,NA,test
9,180722_10_pref,4,preference,Pig,Bear,t17,t7,t17,left,7,false,14035,1,t17,4.68219178082192,NA,test
10,180722_10_pref,4,preference,Monkey,Bear,t12,t3,t3,left,8,true,12690,0,t12,4.68219178082192,NA,test
1,180722_2_pref,4,preference,Elephant,Bear,car,bear,car,left,train,false,14865,1,car,4.13424657534247,NA,train
2,180722_2_pref,4,preference,Pig,Bear,duck,ball,ball,right,train,false,14667,1,ball,4.13424657534247,NA,train
3,180722_2_pref,4,preference,Sheep,Bear,t10,t3,t10,left,1,false,17362,1,t10,4.13424657534247,NA,test
4,180722_2_pref,4,preference,Tiger,Bear,t9,t6,t6,left,2,true,18810,0,t9,4.13424657534247,NA,test
5,180722_2_pref,4,preference,Beaver,Bunny,t11,t4,t11,left,3,true,21573,1,t11,4.13424657534247,NA,test
6,180722_2_pref,4,preference,Elephant,Frog,t17,t5,t5,right,4,false,16345,1,t5,4.13424657534247,NA,test
7,180722_2_pref,4,preference,Monkey,Frog,t2,t7,t7,left,5,true,15236,0,t2,4.13424657534247,NA,test
8,180722_2_pref,4,preference,Cat,Mouse,t12,t8,t12,right,6,false,18350,0,t8,4.13424657534247,NA,test
9,180722_2_pref,4,preference,Pig,Mouse,t16,t1,t1,right,7,false,17381,1,t1,4.13424657534247,NA,test
10,180722_2_pref,4,preference,Dog,Mouse,t15,t14,t14,right,8,true,21840,1,t14,4.13424657534247,NA,test
1,180722_7_pref,2,preference,Elephant,Bear,car,bear,car,left,train,false,14653,1,car,2.73698630136986,NA,train
2,180722_7_pref,2,preference,Pig,Bear,duck,ball,ball,right,train,false,9471,1,ball,2.73698630136986,NA,train
3,180722_7_pref,2,preference,Dog,Bear,t2,t17,t17,left,1,false,19072,0,t2,2.73698630136986,NA,test
4,180722_7_pref,2,preference,Mouse,Bear,t8,t6,t6,left,2,true,18856,0,t8,2.73698630136986,NA,test
5,180722_7_pref,2,preference,Frog,Sheep,t10,t9,t9,left,3,true,14354,0,t10,2.73698630136986,NA,test
6,180722_7_pref,2,preference,Cat,Monkey,t12,t14,t14,right,4,false,9208,1,t14,2.73698630136986,NA,test
7,180722_7_pref,2,preference,Elephant,Monkey,t4,t15,t15,right,5,true,8820,1,t15,2.73698630136986,NA,test
8,180722_7_pref,2,preference,Beaver,Bunny,t16,t1,t1,left,6,false,8427,0,t16,2.73698630136986,NA,test
9,180722_7_pref,2,preference,Tiger,Bunny,t3,t5,t5,right,7,false,8986,1,t5,2.73698630136986,NA,test
10,180722_7_pref,2,preference,Pig,Bunny,t11,t7,t11,right,8,true,11045,0,t7,2.73698630136986,NA,test
1,180722_9_pref,4,preference,Elephant,Pig,car,bear,car,left,train,false,12386,1,car,3.89041095890411,NA,train
2,180722_9_pref,4,preference,Pig,Pig,duck,ball,ball,right,train,false,9320,1,ball,3.89041095890411,NA,train
3,180722_9_pref,4,preference,Sheep,Pig,t5,t11,t5,left,1,false,9015,1,t5,3.89041095890411,NA,test
4,180722_9_pref,4,preference,Cat,Pig,t8,t12,t12,right,2,true,8093,1,t12,3.89041095890411,NA,test
5,180722_9_pref,4,preference,Tiger,Mouse,t16,t7,t7,left,3,false,8442,0,t16,3.89041095890411,NA,test
6,180722_9_pref,4,preference,Bear,Mouse,t6,t9,t9,right,4,true,8478,1,t9,3.89041095890411,NA,test
7,180722_9_pref,4,preference,Dog,Frog,t17,t2,t2,right,5,false,8079,1,t2,3.89041095890411,NA,test
8,180722_9_pref,4,preference,Monkey,Frog,t4,t10,t10,left,6,true,8332,0,t4,3.89041095890411,NA,test
9,180722_9_pref,4,preference,Beaver,Elephant,t3,t15,t3,left,7,false,8404,1,t3,3.89041095890411,NA,test
10,180722_9_pref,4,preference,Bunny,Elephant,t14,t1,t1,right,8,true,9806,1,t1,3.89041095890411,NA,test
1,180723_14_pref,2,preference,Elephant,Sheep,car,bear,car,left,train,false,9826,1,car,2.43013698630137,NA,train
2,180723_14_pref,2,preference,Pig,Sheep,duck,ball,ball,right,train,false,15890,1,ball,2.43013698630137,NA,train
3,180723_14_pref,2,preference,Mouse,Sheep,t9,t4,t4,right,1,true,9942,1,t4,2.43013698630137,NA,test
4,180723_14_pref,2,preference,Cat,Frog,t17,t1,t17,right,2,false,16842,0,t1,2.43013698630137,NA,test
5,180723_14_pref,2,preference,Monkey,Frog,t14,t8,t8,left,3,false,22893,0,t14,2.43013698630137,NA,test
6,180723_14_pref,2,preference,Bunny,Frog,t10,t3,t3,left,4,true,25111,0,t10,2.43013698630137,NA,test
7,180723_14_pref,2,preference,Dog,Pig,t11,t2,t2,left,5,true,28277,0,t11,2.43013698630137,NA,test
8,180723_14_pref,2,preference,Beaver,Tiger,t12,t5,t5,left,6,false,22065,0,t12,2.43013698630137,NA,test
9,180723_14_pref,2,preference,Elephant,Tiger,t16,t7,t16,right,7,true,11457,0,t7,2.43013698630137,NA,test
10,180723_14_pref,2,preference,Bear,NA,t15,t6,t15,right,8,false,15039,0,t6,2.43013698630137,NA,test
1,180723_15_pref,2,preference,Elephant,Bunny,car,bear,car,left,train,false,25436,1,car,2.33698630136986,NA,train
2,180723_15_pref,2,preference,Pig,Bunny,duck,ball,ball,right,train,false,14792,1,ball,2.33698630136986,NA,train
3,180723_15_pref,2,preference,Sheep,Bunny,t9,t7,t7,left,1,false,28688,0,t9,2.33698630136986,NA,test
4,180723_15_pref,2,preference,Elephant,Bunny,t12,t5,t5,left,2,true,38802,0,t12,2.33698630136986,NA,test
5,180723_15_pref,2,preference,Dog,Bear,t11,t6,t6,right,3,true,21373,1,t6,2.33698630136986,NA,test
6,180723_15_pref,2,preference,Beaver,Monkey,t14,t17,t17,left,4,false,32961,0,t14,2.33698630136986,NA,test
7,180723_15_pref,2,preference,Tiger,Monkey,t3,t1,t1,right,5,false,26785,1,t1,2.33698630136986,NA,test
8,180723_15_pref,2,preference,Pig,Monkey,t15,t8,t8,right,6,true,17566,1,t8,2.33698630136986,NA,test
9,180723_15_pref,2,preference,Frog,Mouse,t4,t10,t10,right,7,true,21490,1,t10,2.33698630136986,NA,test
10,180723_15_pref,2,preference,Cat,NA,t2,t16,t16,left,8,false,17310,0,t2,2.33698630136986,NA,test
1,180723_1_pref,2,preference,Elephant,Mouse,car,bear,car,left,train,false,22841,1,car,2,NA,train
2,180723_1_pref,2,preference,Pig,Mouse,duck,ball,ball,right,train,false,12009,1,ball,2,NA,train
3,180723_1_pref,2,preference,Tiger,Mouse,t12,t5,t5,right,1,true,15741,1,t5,2,NA,test
4,180723_1_pref,2,preference,Monkey,Bear,t1,t16,t16,left,2,false,13908,0,t1,2,NA,test
5,180723_1_pref,2,preference,Elephant,Bear,t3,t10,t10,left,3,false,12743,0,t3,2,NA,test
6,180723_1_pref,2,preference,Bunny,Bear,t11,t2,t2,right,4,true,14173,1,t2,2,NA,test
7,180723_1_pref,2,preference,Cat,Pig,t17,t15,t17,right,5,false,14000,0,t15,2,NA,test
8,180723_1_pref,2,preference,Sheep,Pig,t4,t6,t4,left,6,true,13711,1,t4,2,NA,test
