experiment,id,trial,common_ground_manipulation,speaker,alignment,agent,correct_inf
adult_ex3,4c87a5205bcc02ba5879175dfb107ab4,1,novelty,different_speaker,congruent,Bunny,0
adult_ex3,4c87a5205bcc02ba5879175dfb107ab4,2,novelty,different_speaker,congruent,Dog,0
adult_ex3,4c87a5205bcc02ba5879175dfb107ab4,3,novelty,different_speaker,incongruent,Sheep,1
adult_ex3,4c87a5205bcc02ba5879175dfb107ab4,4,novelty,same_speaker,congruent,Mouse,0
adult_ex3,4c87a5205bcc02ba5879175dfb107ab4,5,novelty,same_speaker,incongruent,Elephant,1
adult_ex3,4c87a5205bcc02ba5879175dfb107ab4,6,novelty,same_speaker,incongruent,Bear,1
adult_ex3,4c87a5205bcc02ba5879175dfb107ab4,7,novelty,different_speaker,incongruent,Tiger,1
adult_ex3,4c87a5205bcc02ba5879175dfb107ab4,8,novelty,same_speaker,congruent,Pig,0
adult_ex3,4d5b1f8363a79be3fb90c93c308a8925,1,novelty,same_speaker,congruent,Mouse,1
adult_ex3,4d5b1f8363a79be3fb90c93c308a8925,2,novelty,different_speaker,congruent,Frog,1
adult_ex3,4d5b1f8363a79be3fb90c93c308a8925,3,novelty,same_speaker,congruent,Elephant,1
adult_ex3,4d5b1f8363a79be3fb90c93c308a8925,4,novelty,different_speaker,incongruent,Monkey,0
adult_ex3,4d5b1f8363a79be3fb90c93c308a8925,5,novelty,different_speaker,congruent,Bear,0
adult_ex3,4d5b1f8363a79be3fb90c93c308a8925,6,novelty,same_speaker,incongruent,Beaver,0
adult_ex3,4d5b1f8363a79be3fb90c93c308a8925,7,novelty,same_speaker,incongruent,Cat,0
adult_ex3,4d5b1f8363a79be3fb90c93c308a8925,8,novelty,different_speaker,incongruent,Dog,1
adult_ex3,5062610104fce888c290d3933621763f,1,novelty,different_speaker,congruent,Sheep,1
adult_ex3,5062610104fce888c290d3933621763f,2,novelty,same_speaker,incongruent,Dog,1
adult_ex3,5062610104fce888c290d3933621763f,3,novelty,same_speaker,congruent,Mouse,1
adult_ex3,5062610104fce888c290d3933621763f,4,novelty,different_speaker,incongruent,Tiger,0
adult_ex3,5062610104fce888c290d3933621763f,5,novelty,same_speaker,incongruent,Monkey,0
adult_ex3,5062610104fce888c290d3933621763f,6,novelty,different_speaker,congruent,Bunny,1
adult_ex3,5062610104fce888c290d3933621763f,7,novelty,different_speaker,incongruent,Beaver,1
adult_ex3,5062610104fce888c290d3933621763f,8,novelty,same_speaker,congruent,Elephant,1
adult_ex3,57a796699423a056407b397f0712a576,1,novelty,different_speaker,congruent,Monkey,1
adult_ex3,57a796699423a056407b397f0712a576,2,novelty,different_speaker,incongruent,Tiger,0
adult_ex3,57a796699423a056407b397f0712a576,3,novelty,different_speaker,incongruent,Elephant,0
adult_ex3,57a796699423a056407b397f0712a576,4,novelty,same_speaker,incongruent,Cat,0
adult_ex3,57a796699423a056407b397f0712a576,5,novelty,same_speaker,congruent,Beaver,1
adult_ex3,57a796699423a056407b397f0712a576,6,novelty,same_speaker,congruent,Pig,1
adult_ex3,57a796699423a056407b397f0712a576,7,novelty,same_speaker,incongruent,Bear,0
adult_ex3,57a796699423a056407b397f0712a576,8,novelty,different_speaker,congruent,Frog,1
adult_ex3,5a1e3f3e11a6e328d00b35d929b93ceb,1,novelty,different_speaker,congruent,Dog,1
adult_ex3,5a1e3f3e11a6e328d00b35d929b93ceb,2,novelty,same_speaker,congruent,Sheep,1
adult_ex3,5a1e3f3e11a6e328d00b35d929b93ceb,3,novelty,same_speaker,incongruent,Cat,0
adult_ex3,5a1e3f3e11a6e328d00b35d929b93ceb,4,novelty,different_speaker,incongruent,Monkey,1
adult_ex3,5a1e3f3e11a6e328d00b35d929b93ceb,5,novelty,same_speaker,incongruent,Beaver,0
adult_ex3,5a1e3f3e11a6e328d00b35d929b93ceb,6,novelty,same_speaker,congruent,Elephant,1
adult_ex3,5a1e3f3e11a6e328d00b35d929b93ceb,7,novelty,different_speaker,incongruent,Bunny,1
adult_ex3,5a1e3f3e11a6e328d00b35d929b93ceb,8,novelty,different_speaker,congruent,Bear,0
adult_ex3,60306af10c5ac760286a2c17c6b6d828,1,novelty,different_speaker,congruent,Dog,0
adult_ex3,60306af10c5ac760286a2c17c6b6d828,2,novelty,same_speaker,congruent,Elephant,1
adult_ex3,60306af10c5ac760286a2c17c6b6d828,3,novelty,different_speaker,incongruent,Bear,1
adult_ex3,60306af10c5ac760286a2c17c6b6d828,4,novelty,different_speaker,congruent,Tiger,0
adult_ex3,60306af10c5ac760286a2c17c6b6d828,5,novelty,same_speaker,incongruent,Bunny,0
adult_ex3,60306af10c5ac760286a2c17c6b6d828,6,novelty,same_speaker,congruent,Cat,0
adult_ex3,60306af10c5ac760286a2c17c6b6d828,7,novelty,different_speaker,incongruent,Sheep,0
adult_ex3,60306af10c5ac760286a2c17c6b6d828,8,novelty,same_speaker,incongruent,Frog,1
adult_ex3,6092520fdbb5d2e45102d5c2dc31e979,1,novelty,same_speaker,congruent,Monkey,1
adult_ex3,6092520fdbb5d2e45102d5c2dc31e979,2,novelty,different_speaker,congruent,Frog,1
adult_ex3,6092520fdbb5d2e45102d5c2dc31e979,3,novelty,different_speaker,incongruent,Cat,1
adult_ex3,6092520fdbb5d2e45102d5c2dc31e979,4,novelty,same_speaker,incongruent,Bunny,1
adult_ex3,6092520fdbb5d2e45102d5c2dc31e979,5,novelty,same_speaker,incongruent,Mouse,0
adult_ex3,6092520fdbb5d2e45102d5c2dc31e979,6,novelty,different_speaker,congruent,Beaver,1
adult_ex3,6092520fdbb5d2e45102d5c2dc31e979,7,novelty,same_speaker,congruent,Pig,1
adult_ex3,6092520fdbb5d2e45102d5c2dc31e979,8,novelty,different_speaker,incongruent,Sheep,1
adult_ex3,6417d50d2f2dd2f89924c0e419b204c0,1,novelty,same_speaker,congruent,Mouse,1
adult_ex3,6417d50d2f2dd2f89924c0e419b204c0,2,novelty,different_speaker,congruent,Cat,0
adult_ex3,6417d50d2f2dd2f89924c0e419b204c0,3,novelty,same_speaker,congruent,Bunny,1
adult_ex3,6417d50d2f2dd2f89924c0e419b204c0,4,novelty,same_speaker,incongruent,Tiger,0
adult_ex3,6417d50d2f2dd2f89924c0e419b204c0,5,novelty,different_speaker,congruent,Elephant,0
adult_ex3,6417d50d2f2dd2f89924c0e419b204c0,6,novelty,different_speaker,incongruent,Monkey,1
adult_ex3,6417d50d2f2dd2f89924c0e419b204c0,7,novelty,different_speaker,incongruent,Sheep,1
adult_ex3,6417d50d2f2dd2f89924c0e419b204c0,8,novelty,same_speaker,incongruent,Frog,0
adult_ex3,64ae03ad92f8701de200269f03f78377,1,novelty,same_speaker,incongruent,Dog,1
adult_ex3,64ae03ad92f8701de200269f03f78377,2,novelty,different_speaker,incongruent,Sheep,1
adult_ex3,64ae03ad92f8701de200269f03f78377,3,novelty,different_speaker,incongruent,Frog,1
adult_ex3,64ae03ad92f8701de200269f03f78377,4,novelty,same_speaker,congruent,Bunny,1
adult_ex3,64ae03ad92f8701de200269f03f78377,5,novelty,different_speaker,congruent,Tiger,1
adult_ex3,64ae03ad92f8701de200269f03f78377,6,novelty,same_speaker,congruent,Pig,1
adult_ex3,64ae03ad92f8701de200269f03f78377,7,novelty,same_speaker,incongruent,Beaver,1
adult_ex3,64ae03ad92f8701de200269f03f78377,8,novelty,different_speaker,congruent,Elephant,1
adult_ex3,67a0f60c09344d7dac44d6e7914638e4,1,novelty,same_speaker,incongruent,Cat,0
adult_ex3,67a0f60c09344d7dac44d6e7914638e4,2,novelty,different_speaker,congruent,Beaver,1
adult_ex3,67a0f60c09344d7dac44d6e7914638e4,3,novelty,different_speaker,congruent,Mouse,1
adult_ex3,67a0f60c09344d7dac44d6e7914638e4,4,novelty,different_speaker,incongruent,Frog,1
adult_ex3,67a0f60c09344d7dac44d6e7914638e4,5,novelty,same_speaker,congruent,Monkey,1
adult_ex3,67a0f60c09344d7dac44d6e7914638e4,6,novelty,same_speaker,congruent,Elephant,1
adult_ex3,67a0f60c09344d7dac44d6e7914638e4,7,novelty,different_speaker,incongruent,Pig,1
adult_ex3,67a0f60c09344d7dac44d6e7914638e4,8,novelty,same_speaker,incongruent,Sheep,1
adult_ex3,6b247beb16f9508829df428b712447be,1,novelty,same_speaker,congruent,Dog,1
adult_ex3,6b247beb16f9508829df428b712447be,2,novelty,different_speaker,congruent,Monkey,1
