experiment,id,trial,condition,agent,correct
adult_ex1,anon26_informativeness,4,test,Bunny,1
adult_ex1,anon26_informativeness,5,test,Cat,1
adult_ex1,anon26_informativeness,6,control,Bear,1
adult_ex1,anon27_informativeness,1,control,Bear,0
adult_ex1,anon27_informativeness,2,test,Monkey,0
adult_ex1,anon27_informativeness,3,test,Frog,1
adult_ex1,anon27_informativeness,4,control,Mouse,0
adult_ex1,anon27_informativeness,5,control,Bunny,1
adult_ex1,anon27_informativeness,6,test,Cat,1
adult_ex1,anon28_informativeness,1,test,Monkey,1
adult_ex1,anon28_informativeness,2,control,Mouse,0
adult_ex1,anon28_informativeness,3,control,Dog,0
adult_ex1,anon28_informativeness,4,test,Bunny,1
adult_ex1,anon28_informativeness,5,test,Frog,1
adult_ex1,anon28_informativeness,6,control,Bear,1
adult_ex1,anon29_informativeness,1,control,Mouse,0
adult_ex1,anon29_informativeness,2,test,Bunny,1
adult_ex1,anon29_informativeness,3,test,Monkey,1
adult_ex1,anon29_informativeness,4,control,Tiger,1
adult_ex1,anon29_informativeness,5,control,Frog,1
adult_ex1,anon29_informativeness,6,test,Bear,1
adult_ex1,anon3_informativeness,1,control,Mouse,0
adult_ex1,anon3_informativeness,2,test,Frog,1
adult_ex1,anon3_informativeness,3,test,Bunny,0
adult_ex1,anon3_informativeness,4,control,Tiger,1
adult_ex1,anon3_informativeness,5,test,Monkey,1
adult_ex1,anon3_informativeness,6,control,Dog,1
adult_ex1,anon30_informativeness,1,test,Mouse,1
adult_ex1,anon30_informativeness,2,control,Frog,0
adult_ex1,anon30_informativeness,3,control,Monkey,0
adult_ex1,anon30_informativeness,4,test,Bunny,0
adult_ex1,anon30_informativeness,5,control,Bear,0
adult_ex1,anon30_informativeness,6,test,Dog,0
adult_ex1,anon31_informativeness,1,test,Mouse,1
adult_ex1,anon31_informativeness,2,control,Monkey,0
adult_ex1,anon31_informativeness,3,control,Dog,0
adult_ex1,anon31_informativeness,4,test,Bear,1
adult_ex1,anon31_informativeness,5,test,Frog,1
adult_ex1,anon31_informativeness,6,control,Bunny,1
adult_ex1,anon32_informativeness,1,test,Monkey,1
adult_ex1,anon32_informativeness,2,control,Frog,0
adult_ex1,anon32_informativeness,3,control,Mouse,0
adult_ex1,anon32_informativeness,4,test,Dog,0
adult_ex1,anon32_informativeness,5,control,Bunny,0
adult_ex1,anon32_informativeness,6,test,Bear,1
adult_ex1,anon33_informativeness,1,test,Bunny,1
adult_ex1,anon33_informativeness,2,control,Dog,1
adult_ex1,anon33_informativeness,3,control,Mouse,1
adult_ex1,anon33_informativeness,4,test,Monkey,1
adult_ex1,anon33_informativeness,5,control,Frog,1
adult_ex1,anon33_informativeness,6,test,Bear,1
adult_ex1,anon34_informativeness,1,test,Monkey,1
adult_ex1,anon34_informativeness,2,control,Mouse,1
adult_ex1,anon34_informativeness,3,test,Bunny,1
adult_ex1,anon34_informativeness,4,control,Bear,0
adult_ex1,anon34_informativeness,5,test,Frog,0
adult_ex1,anon34_informativeness,6,control,Cat,0
adult_ex1,anon35_informativeness,1,control,Mouse,1
adult_ex1,anon35_informativeness,2,test,Frog,1
adult_ex1,anon35_informativeness,3,test,Monkey,1
adult_ex1,anon35_informativeness,4,control,Bunny,1
adult_ex1,anon35_informativeness,5,test,Dog,0
adult_ex1,anon35_informativeness,6,control,Bear,0
adult_ex1,anon36_informativeness,1,test,Mouse,1
adult_ex1,anon36_informativeness,2,control,Frog,1
adult_ex1,anon36_informativeness,3,test,Monkey,1
adult_ex1,anon36_informativeness,4,control,Tiger,0
adult_ex1,anon36_informativeness,5,test,Dog,1
adult_ex1,anon36_informativeness,6,control,Bear,1
adult_ex1,anon37_informativeness,1,test,Monkey,1
adult_ex1,anon37_informativeness,2,control,Frog,0
adult_ex1,anon37_informativeness,3,test,Dog,0
adult_ex1,anon37_informativeness,4,control,Mouse,0
adult_ex1,anon37_informativeness,5,control,Bunny,1
adult_ex1,anon37_informativeness,6,test,Bear,0
adult_ex1,anon38_informativeness,1,control,Frog,1
